net,length_um
_1248_,177.44
clknet_leaf_7_clk,177.12
net21,176.61
_1137_,176.4
clknet_0_clk,176.31
_1122_,174.76
net34,174.45
_1131_,173.33
RAM1.mem\[10\]\[6\],172.06
_2069_,171.46
RAM1.mem\[4\]\[6\],170.34
_2101_,170.06
_0494_,169.87
net47,169.38
_2107_,168.91
_0458_,168.64
net10,167.57
_1125_,167.5
net13,167.36
_1162_,167.34
net40,167.23
_1190_,166.28
_1128_,166.2
_0434_,165.56
_2098_,163.17
_1194_,162.34
_2077_,161.38
_1158_,161.16
_2066_,160.09
_1134_,159.9
_0437_,158.7
_1090_,158.6
_1952_,157.11
_0446_,156.47
CPU1.ir_load,156.45
clknet_leaf_22_clk,156.2
clknet_leaf_6_clk,155.94
_1144_,155.32
_2029_,155.29
net36,154.65
_1117_,154.6
_1417_,154.31
net37,152.99
_1575_,152.18
net11,151.875
_0456_,151.18
_0495_,151
_2081_,150.94
_0837_,150.295
_1438_,150.04
_1115_,148.92
_1380_,148.6
_1774_,148.3
net29,147.56
RAM1.mem\[18\]\[6\],145.8
_0830_,145.59
_1154_,145.365
_1139_,145.15
_1135_,143.56
net38,143.42
_2078_,143.365
net28,142.7
clknet_leaf_1_clk,142.6
clknet_leaf_12_clk,142.42
_1378_,142.405
_1157_,141.16
_1771_,141.04
_1919_,140.88
_0432_,140.5
_1940_,140.48
_0423_,139.6
clknet_leaf_25_clk,139.6
_0459_,138.4
_1941_,138.32
_1477_,138.14
CPU1.instr_reg_out\[6\],138.09
_1121_,137.72
_1259_,136.88
clknet_leaf_16_clk,136.24
_1649_,135.1
_0945_,135.075
_1119_,134.97
_1669_,134.88
_1630_,133.9
_1633_,132.92
_1611_,132.32
_1381_,131.68
_0496_,130.855
_0452_,130.7
_1132_,129.96
_0712_,129.82
_1366_,128.82
RAM1.mem\[21\]\[3\],128.76
_0615_,128.42
_1207_,128.42
clknet_leaf_5_clk,128.34
net32,127.45
_0427_,127.24
_0834_,127.12
_2080_,126.35
_0906_,126.085
_0430_,125.81
_1143_,125.62
clknet_leaf_4_clk,125.62
_1165_,125.36
_2039_,125.2
_1435_,125.16
_1572_,123.64
RAM1.mem\[21\]\[6\],123.36
_0836_,123.15
_1398_,122.84
clknet_leaf_19_clk,122.74
_0835_,122.72
_2076_,122.38
_2093_,122.14
CPU1.reg_b_out\[2\],121.44
_1552_,121.16
_2086_,121.12
net8,121.06
_0612_,121.01
_1007_,120.73
_1944_,120.72
_0961_,120.21
_1055_,120.07
_0577_,119.89
_1475_,119.78
_1401_,119.74
_1306_,119.72
_1651_,119.68
_1591_,119.2
_1614_,119.08
_0879_,119.005
_0832_,118.895
_1826_,118.26
RAM1.mem\[1\]\[6\],117.3
_0972_,117.09
_1250_,116.96
_1222_,116.9
_2099_,116.75
clknet_leaf_20_clk,116.18
_0687_,116.17
_1291_,115.88
_1594_,115.8
_0905_,115.765
_1555_,115.74
_0924_,115.68
_1672_,115.48
clknet_leaf_8_clk,115.42
_1092_,115.37
_1094_,115.175
_0637_,114.73
RAM1.mem\[21\]\[0\],114.2
_1377_,114.2
RAM1.mem\[21\]\[1\],113.93
_0395_,113.72
CPU1.reg_b_out\[1\],113.61
clknet_leaf_24_clk,112.44
_1932_,111.96
_0569_,111.63
clknet_leaf_21_clk,111.12
_0732_,111.11
clknet_leaf_10_clk,111.04
_1344_,110.98
UART1.RX_dataOut\[3\],110.76
net6,110.62
_0799_,110.46
_1075_,109.5
_2051_,109.29
CPU1.reg_b_out\[3\],108.69
_1149_,108.52
_1419_,108.395
UART1.UART_RX1.index\[2\],108.2
_2062_,107.98
_0521_,107.1
_0560_,107
CPU1.instr_reg_out\[7\],106.76
_0915_,106.76
_1335_,106.29
_0842_,106.14
_0499_,106.1
UART1.UART_RX1.regIn,106.05
_0426_,106.04
_0545_,105.865
_2094_,105.23
_0429_,105.16
clk,104.99
CPU1.reg_a_out\[1\],104.035
_0843_,103.7
_2074_,103.64
clknet_leaf_23_clk,103.4
clknet_leaf_3_clk,103.14
uart_curr_state\[1\],102.82
CPU1.reg_a_out\[0\],102.7
RAM1.mem\[21\]\[4\],102
net20,101.76
_0425_,101.69
RAM1.mem\[19\]\[3\],101.66
_0966_,101.28
_2049_,101.24
_1365_,100.41
_1828_,100.38
_2092_,100.165
CPU1.reg_b_out\[0\],100.11
clknet_leaf_17_clk,99.9
_1948_,99.24
_0912_,99.16
_1530_,98.92
clknet_leaf_26_clk,98.74
RAM1.mem\[21\]\[5\],98.61
_0923_,97.8
_0894_,97.27
_0827_,96.605
CPU1.instr_reg_out\[4\],96.55
_0907_,96.5
RAM1.mem\[18\]\[3\],96.42
_0969_,95.83
net2,95.79
_0852_,95.78
_1533_,95.4
net173,95.35
_1192_,95.19
clknet_leaf_18_clk,95.14
_2004_,95.04
_2059_,94.9
_0524_,94.52
net46,94.44
_0917_,94.09
_0540_,93.68
RAM1.mem\[22\]\[1\],93.58
_1035_,93.56
CPU1.PC1.pc_out\[0\],93.35
_1937_,92.95
_1363_,92.82
RAM1.mem\[22\]\[0\],92.54
net5,92.1
_0519_,91.775
clknet_leaf_11_clk,91.54
net3,90.56
_0492_,90.045
_2056_,89.855
_2005_,89.52
_0557_,89.24
_0610_,89.24
_1493_,89.08
_0826_,88.9
CPU1.reg_b_out\[4\],88.57
CPU1.reg_a_out\[2\],88.45
CPU1.PC1.pc_out\[3\],88.11
_1133_,87.6
_0662_,87.49
_0953_,87.46
_2002_,87.44
_1455_,87.42
_0921_,87.14
net12,87.14
_0709_,87.03
_0550_,86.92
_1513_,86.92
_1754_,86.82
_1495_,86.54
_2032_,86.365
_1372_,86.26
net27,86.21
_0956_,86.06
_0903_,85.98
_1278_,85.42
_2028_,85.4
UART1.UART_RX1.state\[1\],85.18
RAM1.mem\[0\]\[6\],84.94
_0490_,84.8
_0493_,84.6
_2061_,84.6
_0829_,83.87
RAM1.mem\[22\]\[2\],83.32
_1511_,82.72
_1873_,82.695
_0936_,82.525
_2036_,82.465
RAM1.mem\[14\]\[5\],82.22
_0898_,82.21
_1029_,81.92
RAM1.mem\[19\]\[1\],81.66
_1457_,81.5
_1751_,81.22
clknet_leaf_9_clk,80.62
_1550_,79.82
CPU1.PC1.pc_out\[4\],79.58
_1113_,79.54
_1458_,79.52
_1304_,79.28
_0849_,78.73
_0901_,77.34
_1792_,77.19
_1142_,77.11
_1931_,77.02
_1989_,76.88
UART1.UART_TX1.index\[1\],76.48
UART1.UART_RX1.clkCount\[0\],76.06
_2070_,75.96
_2037_,75.8
_1923_,75.28
_1719_,75.04
RAM1.mem\[14\]\[3\],74.24
CPU1.instr_reg_out\[5\],74.14
_0515_,73.54
CPU1.PC1.pc_out\[5\],72.47
_1874_,72.38
_1551_,72.305
_1182_,72.16
_0900_,72.11
_0465_,72.02
UART1.UART_RX1.clkCount\[1\],71.88
CPU1.alu_reg_out\[7\],71.77
_0413_,71.47
_1295_,71.21
_0913_,71.09
_1287_,71.08
_0782_,71.06
_0889_,70.94
RAM1.mem\[8\]\[1\],70.9
_2044_,70.81
RAM1.mem\[11\]\[1\],70.755
_0517_,70.7
_0999_,70.7
RAM1.mem\[14\]\[1\],70.3
RAM1.mem\[0\]\[4\],69.14
CPU1.PC1.pc_out\[7\],69.12
_0462_,69.12
CPU1.reg_a_out\[4\],69.08
_0665_,68.95
clknet_leaf_14_clk,68.815
_1720_,68.66
_0407_,68.49
_1276_,68.45
UART1.UART_TX1.clkCount\[3\],68.32
_1695_,68.2
RAM1.mem\[11\]\[3\],68.025
_0857_,67.85
CPU1.reg_a_out\[6\],67.515
UART1.UART_TX1.index\[0\],67.44
_0516_,67.44
_1235_,67.2
RAM1.mem\[22\]\[3\],67.025
RAM1.mem\[23\]\[0\],67
CPU1.curr_state\[1\],66.82
CPU1.reg_a_out\[3\],66.73
_1000_,66.58
RAM1.mem\[11\]\[0\],66.54
_0888_,66.04
_0588_,65.93
_2068_,65.78
RAM1.mem\[18\]\[1\],65.36
RAM1.mem\[11\]\[2\],65.355
_1710_,65.32
_1163_,65.22
_1203_,64.9
_2033_,64.54
_0904_,64.12
_1926_,64.09
RAM1.mem\[14\]\[0\],63.72
_0914_,63.55
_0780_,63.38
_1239_,63.22
net24,62.805
_0943_,62.75
_1694_,62.64
_0850_,62.62
RAM1.mem\[22\]\[4\],62.615
_0831_,62.42
_1178_,62.18
_1474_,61.75
_1345_,61.7
_0767_,61.62
RAM1.mem\[13\]\[3\],61.395
_2072_,61.11
_0824_,60.72
_1211_,60.4
RAM1.mem\[19\]\[0\],60.32
CPU1.instr_reg_out\[1\],60.15
CPU1.PC1.pc_out\[6\],60.01
_1013_,59.9
_0993_,59.54
RAM1.mem\[23\]\[2\],58.92
CPU1.RF1.rf\[1\]\[0\],58.86
_0575_,58.055
CPU1.RF1.rf\[1\]\[1\],58.02
net120,57.8
net142,57.78
RAM1.mem\[23\]\[1\],57.6
CPU1.RF1.rf\[2\]\[6\],57.4
_0734_,57.32
CPU1.RF1.rf\[0\]\[0\],56.97
_1688_,56.86
_1692_,56.84
UART1.UART_TX1.clkCount\[4\],56.635
RAM1.mem\[19\]\[2\],56.6
net145,56.5
_0420_,56.08
RAM1.mem\[9\]\[1\],55.64
net130,55.48
CPU1.reg_a_out\[7\],55.24
_2041_,55.14
CPU1.curr_state\[4\],54.84
UART1.UART_RX1.state\[3\],54.8
_1218_,54.52
_0937_,54.44
CPU1.PC1.pc_out\[2\],54.26
RAM1.mem\[13\]\[1\],54.26
_1791_,54.26
RAM1.mem\[14\]\[4\],54.12
_1260_,54.12
net49,54.02
_0763_,53.96
_2055_,53.79
CPU1.curr_state\[2\],53.75
CPU1.reg_a_out\[5\],53.63
_1288_,53.2
_0645_,53.08
RAM1.mem\[4\]\[4\],53.04
UART1.UART_RX1.clkCount\[3\],53.02
UART1.UART_RX1.clkCount\[2\],52.96
RAM1.mem\[10\]\[2\],52.82
UART1.UART_RX1.clkCount\[9\],52.415
RAM1.mem\[10\]\[0\],51.98
CPU1.RF1.rf\[0\]\[6\],51.68
_1160_,51.66
_2085_,51.62
RAM1.mem\[10\]\[1\],51.56
_0421_,51.55
CPU1.RF1.rf\[0\]\[5\],51.24
RAM1.mem\[9\]\[2\],51.17
_2031_,51.11
RAM1.mem\[22\]\[5\],50.905
_0941_,50.66
_0761_,50.5
CPU1.RF1.rf\[2\]\[5\],50.38
_1790_,50.34
CPU1.RF1.rf\[0\]\[1\],49.93
UART1.UART_TX1.index\[2\],49.93
_2071_,49.8
_1208_,49.78
_1112_,49.72
_0922_,49.58
_1794_,49.55
_0693_,49.42
RAM1.mem\[13\]\[0\],49.38
UART1.UART_RX1.clkCount\[4\],49.02
_1148_,48.94
_0714_,48.9
RAM1.mem\[21\]\[7\],48.79
_0639_,48.78
RAM1.mem\[8\]\[0\],48.68
net137,48.56
_1267_,48.47
UART1.UART_TX1.clkCount\[2\],48.32
_2090_,48.32
CPU1.RF1.rf\[0\]\[2\],48.22
_0574_,48
_0522_,47.8
_1058_,47.72
_1348_,47.61
_1189_,47.34
CPU1.RF1.rf\[1\]\[3\],47.27
net113,47.18
CPU1.RF1.rf\[1\]\[7\],47.02
_0789_,46.74
_0630_,46.6
RAM1.mem\[3\]\[1\],46.585
UART1.UART_RX1.clkCount\[6\],46.375
CPU1.RF1.rf\[2\]\[7\],46.24
RAM1.mem\[18\]\[0\],46.24
_1246_,46.2
_0614_,46.06
_0846_,46
CPU1.RF1.rf\[3\]\[5\],45.98
RAM1.mem\[1\]\[4\],45.76
CPU1.instr_reg_out\[3\],45.7
CPU1.RF1.rf\[2\]\[4\],45.4
_1331_,45.4
_1302_,45.3
_1231_,45.14
_1852_,45.06
UART1.UART_TX1.index\[3\],45.055
_0847_,45
RAM1.mem\[3\]\[5\],44.915
_0786_,44.9
RAM1.mem\[16\]\[1\],44.8
net131,44.8
RAM1.mem\[1\]\[2\],44.7
_0853_,44.64
_0620_,44.62
RAM1.mem\[7\]\[3\],44.605
net157,44.565
_1068_,44.42
_1727_,44.36
_0651_,44.24
_0606_,44.195
RAM1.mem\[8\]\[2\],43.7
_0738_,43.68
_0848_,43.615
CPU1.RF1.rf\[1\]\[2\],43.48
_1986_,43.42
_1979_,43.21
RAM1.mem\[4\]\[3\],43.08
_0680_,43
_0988_,42.9
_1977_,42.84
CPU1.RF1.rf\[2\]\[2\],42.76
net124,42.52
_1175_,42.38
RAM1.mem\[9\]\[0\],42.12
_2064_,42.08
UART1.UART_RX1.clkCount\[5\],41.82
RAM1.mem\[10\]\[4\],41.8
_1812_,41.78
RAM1.mem\[11\]\[4\],41.755
_2065_,41.58
_1018_,41.54
CPU1.RF1.rf\[1\]\[6\],41.46
RAM1.mem\[0\]\[2\],41.46
_0713_,41.24
_0602_,41.2
_0788_,41.12
CPU1.PC1.pc_out\[1\],41.01
_1183_,40.96
RAM1.mem\[4\]\[2\],40.93
UART1.UART_TX1.clkCount\[1\],40.905
UART1.UART_RX1.clkCount\[7\],40.61
CPU1.RF1.rf\[1\]\[5\],40.45
_1964_,40.36
_0725_,40.24
UART1.RX_dataOut\[7\],40.14
_1040_,40.14
CPU1.curr_state\[5\],39.74
CPU1.RF1.rf\[0\]\[3\],39.62
_1173_,39.5
_2038_,39.48
net118,39.26
_1274_,39.2
UART1.RX_done,38.92
_1067_,38.9
_0910_,38.78
RAM1.mem\[3\]\[3\],38.745
RAM1.mem\[7\]\[1\],38.74
RAM1.mem\[7\]\[5\],38.625
UART1.UART_TX1.clkCount\[0\],38.605
_1174_,38.6
UART1.UART_TX1.state\[0\],38.56
_1359_,38.5
_0655_,38.44
_0705_,38.4
RAM1.mem\[13\]\[2\],38.28
_1881_,38.18
_1316_,37.86
_1017_,37.78
_0670_,37.58
RAM1.mem\[10\]\[7\],37.44
RAM1.mem\[3\]\[2\],37.42
_0739_,37.34
_0694_,37.2
_0696_,37.18
_1114_,37.18
_2052_,37.06
UART1.RX_dataOut\[4\],37.02
RAM1.mem\[10\]\[3\],36.94
uart_curr_state\[4\],36.94
RAM1.mem\[18\]\[2\],36.92
RAM1.mem\[4\]\[7\],36.82
_0984_,36.78
_0856_,36.66
_0735_,36.64
_0939_,36.22
RAM1.mem\[19\]\[4\],36.18
UART1.UART_TX1.clkCount\[7\],36.08
_1859_,36
_1804_,35.84
_0975_,35.76
_1238_,35.72
CPU1.RF1.rf\[0\]\[7\],35.56
UART1.UART_TX1.clkCount\[6\],35.5
_0653_,35.27
_1204_,35.24
_0892_,35.22
_1949_,35.16
RAM1.mem\[7\]\[6\],35.065
_1136_,34.9
_1361_,34.84
CPU1.alu_reg_out\[0\],34.72
_1257_,34.64
UART1.UART_TX1.packet\[3\],34.5
RAM1.mem\[5\]\[3\],34.38
RAM1.mem\[23\]\[3\],34.32
_0590_,34.24
_0840_,34.22
_1044_,34.2
_0683_,34.18
_1255_,34.06
_1933_,33.88
RAM1.mem\[15\]\[0\],33.78
_1240_,33.58
UART1.UART_RX1.clkCount\[8\],33.56
_0928_,33.52
_0690_,33.4
_1844_,33.4
RAM1.mem\[20\]\[5\],33.16
UART1.UART_TX1.clkCount\[5\],33.14
RAM1.mem\[0\]\[3\],32.96
_1285_,32.7
_1340_,32.58
_1892_,32.52
RAM1.mem\[1\]\[3\],32.4
net112,32.38
_1181_,32.36
_1227_,32.16
_1808_,32.1
_1210_,32.06
_1212_,32.06
_0870_,32
_1232_,31.98
_1294_,31.92
_0902_,31.9
_1960_,31.88
_1742_,31.58
RAM1.mem\[23\]\[4\],31.5
_0758_,31.5
_1088_,31.5
CPU1.RF1.rf\[1\]\[4\],31.44
_2042_,31.32
RAM1.mem\[18\]\[4\],31.3
RAM1.mem\[11\]\[7\],31.285
_1026_,31.25
_0010_,31.24
RAM1.mem\[6\]\[6\],30.94
UART1.UART_RX1.index\[0\],30.94
RAM1.mem\[4\]\[1\],30.74
_0737_,30.5
_0736_,30.46
CPU1.z_flag_out,30.42
_1342_,30.4
_1819_,30.38
_1973_,30.3
net115,30.25
uart_curr_state\[2\],30.06
CPU1.RF1.rf\[2\]\[0\],30.02
_0899_,29.92
RAM1.mem\[6\]\[5\],29.82
_0674_,29.68
_1816_,29.5
_0692_,29.48
net50,29.42
_0728_,29.32
_1349_,29.2
RAM1.mem\[2\]\[2\],29.16
_1929_,29.16
_1861_,29.135
RAM1.mem\[2\]\[5\],29
_1968_,28.92
_0649_,28.82
CPU1.instr_reg_out\[2\],28.58
RAM1.mem\[18\]\[7\],28.51
RAM1.mem\[6\]\[3\],28.41
_0658_,28.36
RAM1.mem\[12\]\[1\],28.34
_1896_,28.18
RAM1.mem\[3\]\[6\],28.125
_1705_,28.1
_0807_,28.08
net105,28.06
_0783_,28
RAM1.mem\[16\]\[6\],27.98
_2030_,27.92
_1954_,27.89
_0866_,27.88
_1150_,27.8
CPU1.alu_reg_out\[2\],27.78
net54,27.765
UART1.UART_RX1.regInMeta,27.56
_1967_,27.535
RAM1.mem\[4\]\[0\],27.52
_1375_,27.52
_0719_,27.48
_1272_,27.48
RAM1.mem\[16\]\[4\],27.34
_0633_,27.34
_0691_,27.32
net89,27.22
_1343_,27.18
_2027_,27.08
RAM1.mem\[7\]\[2\],27.02
RAM1.mem\[15\]\[5\],26.705
CPU1.RF1.rf\[2\]\[1\],26.68
_0942_,26.62
_0768_,26.58
UART1.RX_dataOut\[6\],26.36
_2022_,26.28
RAM1.mem\[15\]\[1\],26.225
_0751_,26.22
_1004_,26.22
RAM1.mem\[11\]\[5\],26.16
CPU1.RF1.rf\[3\]\[4\],26.14
_0646_,26.08
_1052_,25.94
_1179_,25.8
_0764_,25.76
_0754_,25.68
_0715_,25.64
_1126_,25.48
RAM1.mem\[14\]\[7\],25.36
_1795_,25.34
_0647_,25.32
cmd_byte[2],25.28
RAM1.mem\[19\]\[7\],25.08
_1803_,24.94
_1811_,24.93
_1814_,24.88
_1961_,24.84
RAM1.mem\[16\]\[0\],24.82
_1885_,24.82
_2003_,24.65
_1985_,24.64
_0998_,24.6
RAM1.mem\[14\]\[2\],24.52
RAM1.mem\[8\]\[3\],24.38
_1039_,24.3
_1221_,24.28
_1334_,24.2
_0621_,24.14
_1805_,24.1
_1266_,24.02
_1019_,24.01
RAM1.mem\[5\]\[1\],23.96
RAM1.mem\[0\]\[1\],23.92
_1400_,23.8
net139,23.74
_0955_,23.72
_1098_,23.48
_1333_,23.46
UART1.UART_RX1.index\[1\],23.44
_0701_,23.28
_0671_,23.16
_1317_,23.12
_1845_,23.12
_0702_,23.08
_1339_,23.08
_0839_,23.06
CPU1.RF1.rf\[2\]\[3\],23.04
_1156_,23
CPU1.mdr_out\[5\],22.96
_1279_,22.96
_1934_,22.96
_1473_,22.9
RAM1.mem\[17\]\[0\],22.88
addr_byte[4],22.83
RAM1.mem\[9\]\[4\],22.78
_1958_,22.76
CPU1.RF1.rf\[3\]\[0\],22.7
_1077_,22.68
RAM1.mem\[8\]\[5\],22.64
_0995_,22.64
CPU1.reg_b_out\[5\],22.58
_1709_,22.54
UART1.UART_RX1.state\[0\],22.52
_0750_,22.46
_1858_,22.46
RAM1.mem\[22\]\[6\],22.38
RAM1.mem\[15\]\[6\],22.28
_1945_,22.24
_1823_,22.1
UART1.UART_TX1.clkCount\[8\],22.06
_0682_,21.92
data_byte[2],21.85
_1099_,21.82
_1796_,21.74
UART1.UART_TX1.packet\[4\],21.72
_0981_,21.645
_0518_,21.54
_0716_,21.46
_1701_,21.28
_0613_,21.24
RAM1.mem\[20\]\[3\],21.22
_0811_,21.17
_1955_,21.14
RAM1.mem\[12\]\[0\],21.12
_1906_,21.1
uart_curr_state\[3\],21.02
net94,20.82
_1807_,20.8
net57,20.8
_1956_,20.78
_0636_,20.72
_1201_,20.66
_2012_,20.66
RAM1.mem\[17\]\[4\],20.64
_1993_,20.5
_0619_,20.4
_1801_,20.4
net156,20.36
_2025_,20.32
net52,20.26
_0883_,20.16
_0727_,20.14
_1369_,20.14
UART1.RX_dataOut\[0\],20.04
_2040_,20.01
UART1.UART_TX1.packet\[6\],19.97
_1078_,19.88
RAM1.mem\[15\]\[2\],19.86
_0018_,19.845
_1305_,19.84
RAM1.mem\[19\]\[5\],19.82
_1724_,19.82
CPU1.RF1.rf\[3\]\[3\],19.78
_1936_,19.74
_1671_,19.58
_0114_,19.545
_0887_,19.52
uart_curr_state\[6\],19.5
_0594_,19.4
net48,19.39
_0881_,19.36
_1038_,19.34
_1351_,19.28
_1610_,19.16
_0629_,19.14
_0133_,19.125
UART1.UART_TX1.state\[1\],19.12
RAM1.mem\[8\]\[4\],19.06
_0679_,19.04
_0624_,18.98
_0626_,18.94
_0627_,18.94
net117,18.9
RAM1.mem\[9\]\[3\],18.89
RAM1.mem\[16\]\[3\],18.86
_0873_,18.84
_0965_,18.82
net65,18.82
clknet_leaf_15_clk,18.78
_1866_,18.74
RAM1.mem\[7\]\[4\],18.665
_0724_,18.64
RAM1.mem\[20\]\[4\],18.6
_0878_,18.6
net82,18.6
RAM1.mem\[14\]\[6\],18.58
_0748_,18.58
RAM1.mem\[6\]\[1\],18.56
RAM1.mem\[20\]\[7\],18.48
_1860_,18.48
CPU1.RF1.rf\[0\]\[4\],18.46
_1245_,18.46
RAM1.mem\[3\]\[4\],18.415
_2047_,18.4
_1908_,18.36
net74,18.33
_1800_,18.32
UART1.UART_RX1.dataOut\[6\],18.24
run_reg,18.175
RAM1.mem\[9\]\[5\],18.16
_1872_,18.16
_0862_,18.14
_1277_,18.14
net103,18.14
_1050_,18.06
_1328_,17.96
_1168_,17.8
_1244_,17.76
_2007_,17.68
net135,17.68
_0249_,17.645
_0604_,17.64
RAM1.mem\[10\]\[5\],17.62
_1809_,17.62
RAM1.mem\[0\]\[5\],17.52
_0948_,17.5
_1818_,17.48
_1733_,17.44
RAM1.mem\[23\]\[5\],17.42
_1971_,17.4
RAM1.mem\[6\]\[0\],17.36
RAM1.mem\[6\]\[4\],17.34
_1529_,17.32
UART1.UART_TX1.clkCount\[9\],17.28
_1170_,17.24
_1904_,17.22
RAM1.mem\[2\]\[3\],17.18
_1374_,17.18
_0908_,17.08
RAM1.mem\[18\]\[5\],17.02
_1236_,17.02
_0980_,17.015
UART1.UART_RX1.dataOut\[1\],16.98
_0804_,16.98
RAM1.mem\[17\]\[3\],16.92
_1862_,16.9
_1865_,16.9
_0858_,16.88
net84,16.86
_0115_,16.845
CPU1.RF1.rf\[3\]\[1\],16.82
addr_byte[7],16.81
_0775_,16.78
_1056_,16.765
net150,16.74
RAM1.mem\[8\]\[7\],16.72
_1327_,16.72
UART1.UART_TX1.packet\[2\],16.7
_1066_,16.7
_1876_,16.7
_0132_,16.645
RAM1.mem\[1\]\[7\],16.64
_1071_,16.62
_1505_,16.58
_1668_,16.58
_1054_,16.54
net78,16.5
net61,16.48
_1924_,16.46
_1036_,16.42
net152,16.42
CPU1.RF1.rf\[3\]\[6\],16.4
_1997_,16.4
CPU1.mdr_out\[6\],16.38
_1938_,16.34
net100,16.32
addr_byte[6],16.31
net95,16.3
net116,16.3
_1350_,16.28
_2023_,16.28
CPU1.mdr_out\[7\],16.24
net119,16.24
_0798_,16.21
net55,16.2
RAM1.mem\[2\]\[6\],16.16
_0918_,16.14
_0976_,16.14
_1129_,16.14
_1813_,16.14
_1864_,16.1
_0963_,16.08
_0708_,16.06
RAM1.mem\[0\]\[7\],16.04
_1284_,16.04
_1492_,16.02
_1048_,15.94
_1739_,15.835
_1228_,15.76
_1584_,15.76
RAM1.mem\[4\]\[5\],15.72
_1793_,15.72
_1897_,15.72
UART1.TX_done,15.7
_1300_,15.7
RAM1.mem\[17\]\[6\],15.68
_1247_,15.68
_1625_,15.68
_0991_,15.64
_1057_,15.64
RAM1.mem\[1\]\[5\],15.62
RAM1.mem\[17\]\[7\],15.6
_2053_,15.56
net108,15.56
net146,15.5
_0601_,15.46
UART1.UART_TX1.state\[2\],15.42
net143,15.42
_0920_,15.4
data_byte[0],15.4
_0210_,15.325
RAM1.mem\[3\]\[0\],15.315
_1817_,15.28
_2054_,15.28
_0916_,15.18
net153,15.1
RAM1.mem\[12\]\[2\],15.04
_1031_,15.04
_2015_,15.04
CPU1.alu_reg_out\[1\],15.02
_1957_,15.02
_2016_,15.02
net99,15.02
RAM1.mem\[1\]\[1\],15
RAM1.mem\[6\]\[2\],14.98
RAM1.mem\[16\]\[7\],14.94
_0675_,14.94
_1249_,14.94
_1286_,14.92
_1299_,14.92
net106,14.92
RAM1.mem\[5\]\[7\],14.88
_1662_,14.88
_0864_,14.86
_1928_,14.86
_1410_,14.84
_1521_,14.84
_0002_,14.825
_0544_,14.82
_0785_,14.76
_1660_,14.76
net98,14.76
_0661_,14.74
_1870_,14.74
RAM1.mem\[6\]\[7\],14.68
net161,14.68
RAM1.mem\[2\]\[4\],14.52
_1356_,14.52
_0552_,14.46
_1303_,14.46
_0379_,14.445
_0447_,14.4
_1141_,14.38
_0566_,14.36
_0654_,14.34
_0815_,14.34
_0672_,14.32
_0551_,14.3
tx_reg[2],14.24
_0013_,14.225
net101,14.22
_0909_,14.17
_1721_,14.14
_1639_,14.08
_0559_,14
net151,14
_1880_,13.98
_0077_,13.925
_0771_,13.92
_1043_,13.92
_1273_,13.92
RAM1.mem\[16\]\[2\],13.9
UART1.RX_dataOut\[2\],13.9
_0882_,13.9
_0677_,13.88
net134,13.88
_1837_,13.86
_0565_,13.84
_0109_,13.825
net107,13.82
_0871_,13.8
_1414_,13.76
